"","variable","statistic","value","trt"
"1","X1","mean",0.590899617068339,NA
"2","X1","sd",0.386314464982191,NA
"3","X2","mean",0.641417886096381,NA
"4","X2","sd",0.403361539335837,NA
"5","X3","mean",0.585652872514114,NA
"6","X3","sd",0.407609722530769,NA
"7","X4","mean",0.602367061110613,NA
"8","X4","sd",0.39513202363791,NA
"9","y","mean",0.455,"B"
"10","y","mean",0.745,"C"
"11","y","sum",182,"B"
"12","y","sum",149,"C"
"13",NA,"N",400,"B"
"14",NA,"N",200,"C"
"15","y","sd",0.025,"B"
"16","y","sd",0.031,"C"
